,Found Exit,Group number,Number of friends,Friends,State,Social,Observer,run_id
4393,False,2.0,2.0,"[<__main__.Visitor object at 0x0000017B32671550>, <__main__.Visitor object at 0x0000017B596917D0>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4394,False,2.0,2.0,"[<__main__.Visitor object at 0x0000017B32671550>, <__main__.Visitor object at 0x0000017B57252190>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4395,False,3.0,0.0,[],IDGAF - moving towards main entrance,False,False,0
4396,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B59691890>, <__main__.Visitor object at 0x0000017B59691790>, <__main__.Visitor object at 0x0000017B596918D0>, <__main__.Visitor object at 0x0000017B59691910>]",No friends in vision - moving randomly till timer,True,False,0
4397,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B5635A0D0>, <__main__.Visitor object at 0x0000017B59691790>, <__main__.Visitor object at 0x0000017B596918D0>, <__main__.Visitor object at 0x0000017B59691910>]",Hasn't found close exit - moving randomly,False,True,0
4398,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B5635A0D0>, <__main__.Visitor object at 0x0000017B59691890>, <__main__.Visitor object at 0x0000017B596918D0>, <__main__.Visitor object at 0x0000017B59691910>]",Friend found with NO target location - observing exits,True,True,0
4399,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B5635A0D0>, <__main__.Visitor object at 0x0000017B59691890>, <__main__.Visitor object at 0x0000017B59691790>, <__main__.Visitor object at 0x0000017B59691910>]",Hasn't found close exit - moving randomly,False,True,0
4400,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B5635A0D0>, <__main__.Visitor object at 0x0000017B59691890>, <__main__.Visitor object at 0x0000017B59691790>, <__main__.Visitor object at 0x0000017B596918D0>]",Hasn't found close exit - moving randomly,False,True,0
4401,False,5.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4402,False,6.0,2.0,"[<__main__.Visitor object at 0x0000017B596919D0>, <__main__.Visitor object at 0x0000017B59691A10>]",Hasn't found close exit - moving randomly,False,True,0
4403,False,6.0,2.0,"[<__main__.Visitor object at 0x0000017B59691990>, <__main__.Visitor object at 0x0000017B59691A10>]",No friends in vision - moving randomly till timer,True,False,0
4404,False,6.0,2.0,"[<__main__.Visitor object at 0x0000017B59691990>, <__main__.Visitor object at 0x0000017B596919D0>]",IDGAF - moving towards main entrance,False,False,0
4405,False,7.0,4.0,"[<__main__.Visitor object at 0x0000017B59691A90>, <__main__.Visitor object at 0x0000017B59691AD0>, <__main__.Visitor object at 0x0000017B59691B10>, <__main__.Visitor object at 0x0000017B59691B50>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4406,False,7.0,4.0,"[<__main__.Visitor object at 0x0000017B59691A50>, <__main__.Visitor object at 0x0000017B59691AD0>, <__main__.Visitor object at 0x0000017B59691B10>, <__main__.Visitor object at 0x0000017B59691B50>]",No friends in vision - moving randomly till timer,True,False,0
4407,False,7.0,4.0,"[<__main__.Visitor object at 0x0000017B59691A50>, <__main__.Visitor object at 0x0000017B59691A90>, <__main__.Visitor object at 0x0000017B59691B10>, <__main__.Visitor object at 0x0000017B59691B50>]",IDGAF - moving towards main entrance,False,False,0
4408,False,7.0,4.0,"[<__main__.Visitor object at 0x0000017B59691A50>, <__main__.Visitor object at 0x0000017B59691A90>, <__main__.Visitor object at 0x0000017B59691AD0>, <__main__.Visitor object at 0x0000017B59691B50>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4409,False,7.0,4.0,"[<__main__.Visitor object at 0x0000017B59691A50>, <__main__.Visitor object at 0x0000017B59691A90>, <__main__.Visitor object at 0x0000017B59691AD0>, <__main__.Visitor object at 0x0000017B59691B10>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4410,False,8.0,1.0,[<__main__.Visitor object at 0x0000017B59691BD0>],No friends in vision - moving randomly till timer,True,False,0
4411,False,8.0,1.0,[<__main__.Visitor object at 0x0000017B59691B90>],No friends in vision - moving randomly till timer or see friends,True,True,0
4412,False,9.0,0.0,[],Hasn't found close exit - moving randomly,False,True,0
4413,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C90>, <__main__.Visitor object at 0x0000017B59691CD0>, <__main__.Visitor object at 0x0000017B59691D10>]",No friends in vision - moving randomly till timer,True,False,0
4414,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C50>, <__main__.Visitor object at 0x0000017B59691CD0>, <__main__.Visitor object at 0x0000017B59691D10>]",IDGAF - moving towards main entrance,False,False,0
4415,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C50>, <__main__.Visitor object at 0x0000017B59691C90>, <__main__.Visitor object at 0x0000017B59691D10>]",No friends in vision - moving randomly till timer,True,False,0
4416,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C50>, <__main__.Visitor object at 0x0000017B59691C90>, <__main__.Visitor object at 0x0000017B59691CD0>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4417,False,11.0,3.0,"[<__main__.Visitor object at 0x0000017B59691D90>, <__main__.Visitor object at 0x0000017B59691DD0>, <__main__.Visitor object at 0x0000017B59691E10>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4418,False,11.0,3.0,"[<__main__.Visitor object at 0x0000017B59691D50>, <__main__.Visitor object at 0x0000017B59691DD0>, <__main__.Visitor object at 0x0000017B59691E10>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4419,False,11.0,3.0,"[<__main__.Visitor object at 0x0000017B59691D50>, <__main__.Visitor object at 0x0000017B59691D90>, <__main__.Visitor object at 0x0000017B59691E10>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4420,False,11.0,3.0,"[<__main__.Visitor object at 0x0000017B59691D50>, <__main__.Visitor object at 0x0000017B59691D90>, <__main__.Visitor object at 0x0000017B59691DD0>]",Found close exit - moving towards,False,True,0
4421,False,12.0,0.0,[],IDGAF - moving towards main entrance,False,False,0
4422,False,13.0,1.0,[<__main__.Visitor object at 0x0000017B59691ED0>],Found close exit - moving towards,False,True,0
4423,False,13.0,1.0,[<__main__.Visitor object at 0x0000017B59691E90>],Found close exit - moving towards,False,True,0
4424,False,14.0,4.0,"[<__main__.Visitor object at 0x0000017B59691F50>, <__main__.Visitor object at 0x0000017B59691F90>, <__main__.Visitor object at 0x0000017B59691FD0>, <__main__.Visitor object at 0x0000017B59692010>]",Friend found with NO target location - observing exits,True,True,0
4425,False,14.0,4.0,"[<__main__.Visitor object at 0x0000017B59691F10>, <__main__.Visitor object at 0x0000017B59691F90>, <__main__.Visitor object at 0x0000017B59691FD0>, <__main__.Visitor object at 0x0000017B59692010>]",IDGAF - moving towards main entrance,False,False,0
4426,False,14.0,4.0,"[<__main__.Visitor object at 0x0000017B59691F10>, <__main__.Visitor object at 0x0000017B59691F50>, <__main__.Visitor object at 0x0000017B59691FD0>, <__main__.Visitor object at 0x0000017B59692010>]",IDGAF - moving towards main entrance,False,False,0
4427,False,14.0,4.0,"[<__main__.Visitor object at 0x0000017B59691F10>, <__main__.Visitor object at 0x0000017B59691F50>, <__main__.Visitor object at 0x0000017B59691F90>, <__main__.Visitor object at 0x0000017B59692010>]",Friend found with NO target location - observing exits,True,True,0
4428,False,14.0,4.0,"[<__main__.Visitor object at 0x0000017B59691F10>, <__main__.Visitor object at 0x0000017B59691F50>, <__main__.Visitor object at 0x0000017B59691F90>, <__main__.Visitor object at 0x0000017B59691FD0>]",Friend found with target location - stolen target,True,False,0
4429,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692090>, <__main__.Visitor object at 0x0000017B596920D0>, <__main__.Visitor object at 0x0000017B59692110>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4430,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692050>, <__main__.Visitor object at 0x0000017B596920D0>, <__main__.Visitor object at 0x0000017B59692110>]",Friend found with NO target location - go to main exit,True,False,0
4431,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692050>, <__main__.Visitor object at 0x0000017B59692090>, <__main__.Visitor object at 0x0000017B59692110>]",Friend found with NO target location - observing exits,True,True,0
4432,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692050>, <__main__.Visitor object at 0x0000017B59692090>, <__main__.Visitor object at 0x0000017B596920D0>]",Friend found with NO target location - observing exits,True,True,0
4433,False,16.0,3.0,"[<__main__.Visitor object at 0x0000017B59692190>, <__main__.Visitor object at 0x0000017B596921D0>, <__main__.Visitor object at 0x0000017B59692210>]",Hasn't found close exit - moving randomly,False,True,0
4434,False,16.0,3.0,"[<__main__.Visitor object at 0x0000017B59692150>, <__main__.Visitor object at 0x0000017B596921D0>, <__main__.Visitor object at 0x0000017B59692210>]",No friends in vision - moving randomly till timer,True,False,0
4435,False,16.0,3.0,"[<__main__.Visitor object at 0x0000017B59692150>, <__main__.Visitor object at 0x0000017B59692190>, <__main__.Visitor object at 0x0000017B59692210>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4436,False,16.0,3.0,"[<__main__.Visitor object at 0x0000017B59692150>, <__main__.Visitor object at 0x0000017B59692190>, <__main__.Visitor object at 0x0000017B596921D0>]",Found close exit - moving towards,False,True,0
4437,False,17.0,3.0,"[<__main__.Visitor object at 0x0000017B59692290>, <__main__.Visitor object at 0x0000017B596922D0>, <__main__.Visitor object at 0x0000017B59692310>]",IDGAF - moving towards main entrance,False,False,0
4438,False,17.0,3.0,"[<__main__.Visitor object at 0x0000017B59692250>, <__main__.Visitor object at 0x0000017B596922D0>, <__main__.Visitor object at 0x0000017B59692310>]",IDGAF - moving towards main entrance,False,False,0
4439,False,17.0,3.0,"[<__main__.Visitor object at 0x0000017B59692250>, <__main__.Visitor object at 0x0000017B59692290>, <__main__.Visitor object at 0x0000017B59692310>]",Friend found with target location - stolen target,True,True,0
4440,False,17.0,3.0,"[<__main__.Visitor object at 0x0000017B59692250>, <__main__.Visitor object at 0x0000017B59692290>, <__main__.Visitor object at 0x0000017B596922D0>]",Friend found with target location - stolen target,True,False,0
4441,False,18.0,4.0,"[<__main__.Visitor object at 0x0000017B59692390>, <__main__.Visitor object at 0x0000017B596923D0>, <__main__.Visitor object at 0x0000017B59692410>, <__main__.Visitor object at 0x0000017B59692450>]",IDGAF - moving towards main entrance,False,False,0
4442,False,18.0,4.0,"[<__main__.Visitor object at 0x0000017B59692350>, <__main__.Visitor object at 0x0000017B596923D0>, <__main__.Visitor object at 0x0000017B59692410>, <__main__.Visitor object at 0x0000017B59692450>]",Friend found with NO target location - observing exits,True,True,0
4443,False,18.0,4.0,"[<__main__.Visitor object at 0x0000017B59692350>, <__main__.Visitor object at 0x0000017B59692390>, <__main__.Visitor object at 0x0000017B59692410>, <__main__.Visitor object at 0x0000017B59692450>]",Friend found with target location - stolen target,True,True,0
4444,False,18.0,4.0,"[<__main__.Visitor object at 0x0000017B59692350>, <__main__.Visitor object at 0x0000017B59692390>, <__main__.Visitor object at 0x0000017B596923D0>, <__main__.Visitor object at 0x0000017B59692450>]",Found close exit - moving towards,False,True,0
4445,False,18.0,4.0,"[<__main__.Visitor object at 0x0000017B59692350>, <__main__.Visitor object at 0x0000017B59692390>, <__main__.Visitor object at 0x0000017B596923D0>, <__main__.Visitor object at 0x0000017B59692410>]",Hasn't found close exit - moving randomly,False,True,0
4446,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B596924D0>, <__main__.Visitor object at 0x0000017B59692510>, <__main__.Visitor object at 0x0000017B59692550>, <__main__.Visitor object at 0x0000017B59692590>]",Friend found with NO target location - go to main exit,True,False,0
4447,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B59692490>, <__main__.Visitor object at 0x0000017B59692510>, <__main__.Visitor object at 0x0000017B59692550>, <__main__.Visitor object at 0x0000017B59692590>]",IDGAF - moving towards main entrance,False,False,0
4448,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B59692490>, <__main__.Visitor object at 0x0000017B596924D0>, <__main__.Visitor object at 0x0000017B59692550>, <__main__.Visitor object at 0x0000017B59692590>]",No friends in vision - moving randomly till timer,True,False,0
4449,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B59692490>, <__main__.Visitor object at 0x0000017B596924D0>, <__main__.Visitor object at 0x0000017B59692510>, <__main__.Visitor object at 0x0000017B59692590>]",Hasn't found close exit - moving randomly,False,True,0
4450,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B59692490>, <__main__.Visitor object at 0x0000017B596924D0>, <__main__.Visitor object at 0x0000017B59692510>, <__main__.Visitor object at 0x0000017B59692550>]",IDGAF - moving towards main entrance,False,False,0
4451,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B59692610>],Found close exit - moving towards,False,True,0
4452,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4453,False,21.0,1.0,[<__main__.Visitor object at 0x0000017B59692690>],No friends in vision - moving randomly till timer,True,False,0
4454,False,21.0,1.0,[<__main__.Visitor object at 0x0000017B59692650>],Friend found with NO target location - go to main exit,True,False,0
