,Active Agents,Exited Agents,Cumulative Exited Agents,Agents per Cell - Main Exit,Agents per Cell - South West Exit,Agents per Cell - North West Exit,Agents per Cell - East Exit,Agents per Cell - South East Exit,Agents per Cell - First South Exit,Agents per Cell - First North Exit,Agents per Cell - Stairs North,Agents per Cell - Stairs South,Agents per Cell - North Stairs,Agents per Cell - South Stairs,run_id
20,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0
21,1001,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0
22,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0
23,1001,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0
24,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0
25,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.75,0.5,0
26,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0
27,1001,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.25,0.5,0
28,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.25,0
29,1001,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.75,0
30,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0
31,1001,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
32,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.25,0
33,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0
34,1001,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.75,0
35,1001,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.5,0
36,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,0.75,1.25,0
37,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,0.5,1.75,0
38,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.5,0
39,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,1.0,0
40,1001,0,0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,0.25,2.5,0
41,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.5,0.25,2.0,0
42,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.5,0.5,2.0,0
43,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.75,0
44,1001,0,0,0.125,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0
45,1001,0,0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.5,0.25,1.75,0
46,1001,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,2.0,0.25,1.5,0
47,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.25,1.5,0
48,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2.5,0.75,2.5,0
49,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.0,1.5,0
50,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.5,1.75,0
51,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,2.0,0
52,1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.5,1.75,0
53,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.25,2.25,0
54,1001,0,0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.5,2.0,0.25,2.5,0
55,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,1.25,0
56,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.75,1.5,0
57,1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,2.0,0.5,2.0,0
58,1001,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.25,0
59,1001,0,0,0.125,0.0,0.0,0.0,1.0,0.0,1.0,0.5,2.0,0.5,1.5,0
60,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,0.75,1.75,0
61,1001,0,0,0.125,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0
62,1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.25,2.5,0
63,1001,0,0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.5,1.5,0.25,1.5,0
64,1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.25,1.25,0
65,1001,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,1.5,0.25,1.0,0
66,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0
67,1001,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.75,0
68,1001,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.75,1.75,0
69,1001,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5,1.0,0.75,0
70,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.5,1.0,0
71,1001,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,1.75,0
72,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.75,1.5,0
73,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.75,0.75,0
74,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.75,0
75,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.75,0
76,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,1.5,0
77,1001,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,1.5,0
78,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.75,1.0,0
79,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.75,1.5,0
80,1001,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.75,0.25,0
81,1001,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.75,1.5,0
82,1001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.75,2.75,0
